comment_id,index,sentiment_confidence,sentiment_margin,sentiment_entropy,respect_confidence,respect_margin,respect_entropy,insult_confidence,insult_margin,insult_entropy,humiliate_confidence,humiliate_margin,humiliate_entropy,status_confidence,status_margin,status_entropy,dehumanize_confidence,dehumanize_margin,dehumanize_entropy,violence_confidence,violence_margin,violence_entropy,genocide_confidence,genocide_margin,genocide_entropy,attack_defend_confidence,attack_defend_margin,attack_defend_entropy,hatespeech_confidence,hatespeech_margin,hatespeech_entropy
26845,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8070,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24948,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12635,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29293,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12271,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28981,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43872,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7737,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16019,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37045,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49409,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47899,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30201,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12334,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49530,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26115,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11314,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5650,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33903,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10634,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26214,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9453,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9411,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16823,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37890,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
